Location,Price_Period,Date_Added_Updated,Description,Serviced,Bed_Bath_Toilet
Medina Gbagada Lagos,"800,000/year",  Added 31 Jan 2023 , FOR RENT: To Let Mini flat with all tiled partly POP @ Medina estate Gbagada 800k 1.. Read more ,Furnished,1 beds1 baths2 Toilets
Mende Maryland Lagos,"5,500,000/year",  Added 31 Jan 2023 , FOR RENT: A semi furnished 4 bedroom duplex in a serene and secure estate in Mende Marylan.. Read more ,Furnished,4 beds4 baths4 Toilets
Ologolo Lekki Lagos,"5,000,000/year",  Added 31 Jan 2023 , FOR RENT: 2 luxurious 3 bedroom semi-detached duplexes with study and one room BQ in a ser.. Read more ,Newly Built,3 beds3 baths4 Toilets
Osapa London Lekki Lagos,"7,000,000/year","  Updated 31 Jan 2023, Added 31 Jan 2023 ", FOR RENT: Victory park estate Osapa 4 bedroom semi detached on 511 sqm with 2rooms .. Read more ,Newly Built,4 beds4 baths5 Toilets
Lekki Lagos,"20,000,000/year",  Added 31 Jan 2023 , FOR RENT: TO LET Brand new 5 bedroom semi-detached with bq Rent: 20m Agency:10% Legal:.. Read more ,Newly Built,5 beds5 baths6 Toilets
Shangisha Kosofe Ikosi Lagos,"3,500,000/year",  Added 31 Jan 2023 , FOR RENT: Features POP Ceiling Kitchen Cabinet Wardrobe Chandelier Prepaid meter Se.. Read more ,Newly Built,4 beds4 baths5 Toilets
Lekki Lagos,"2,600,000/year",  Added 31 Jan 2023 , FOR RENT: Mini flat ( Unfurnished at N2.6m back End Unit *3) A: General Services .. Read more ,ServicedNewly Built,1 beds1 baths1 Toilets
Oribanwa Ibeju Lekki Lagos,"650,000/year",  Added 31 Jan 2023 , FOR RENT: Massively renovated 3-bedroom flat at ELESEKAN by Bogije Ibeju-Lekki Lagos State.. Read more ,,3 beds4 baths4 Toilets
Chevron Lekki Lagos,"4,500,000/year",  Added 31 Jan 2023 , FOR RENT: 3-Bedroom Penthouse 3 Bathrooms 4 Toilets PentHouse Serviced Estate Communit.. Read more ,Serviced,3 beds3 baths4 Toilets
Osapa London Lekki Lagos,"3,500,000/year","  Updated 30 Jan 2023, Added 30 Jan 2023 ", FOR RENT: TO LET SPECIOUS 3 BEDROOM TERRENCE DUPLEX Rent #3.5m Agency 10% Legal.. Read more ,Newly Built,3 beds3 baths4 Toilets
Chevron Alternative Lekki Lagos,"3,500,000/year","  Updated 30 Jan 2023, Added 30 Jan 2023 ", FOR RENT: 4 bedroom Terence duplex Location: Chevron alternative Rent: 3.5 millions .. Read more ,Newly Built,4 beds4 baths5 Toilets
Ikate Lekki Lagos,"5,000,000/year","  Updated 30 Jan 2023, Added 30 Jan 2023 ", FOR RENT: TO LET 2BEDROOM APARTMENT Rent: 5million Agent:10% Legal:10% Caution:300k .. Read more ,ServicedNewly Built,2 beds2 baths3 Toilets
Osapa London Lekki Lagos,"3,000,000/year","  Updated 30 Jan 2023, Added 30 Jan 2023 ", FOR RENT: 2 bedroom flat with Swimming pool and gymnasium Location Osapa London Ann.. Read more ,ServicedNewly Built,3 beds3 baths4 Toilets
Bioyin Ijaye Abule Egba Lagos,"600,000/year",  Added 30 Jan 2023 , FOR RENT: All-round ties prepaid meter interlocking compound wall rope kitchen cabinets pa.. Read more ,Furnished,2 beds3 baths3 Toilets
Omole Phase 1 Ojodu Lagos,"5,000,000/year",  Added 30 Jan 2023 , FOR RENT: To let in omole phase1 estate 4 bedrooms semi detached duplex for office/commerc.. Read more ,,4 beds3 baths5 Toilets
Ifako Ogba Ogba Lagos,"1,000,000/year",  Added 30 Jan 2023 , FOR RENT: To let Exotic Newly Renovated 2 bedroom flat 3t/2b POP tilers consor in all r.. Read more ,,2 beds2 baths3 Toilets
Dolphin Estate Ikoyi Lagos,"1,500,000/year",  Added 30 Jan 2023 , FOR RENT: 2 bedroom Flat / Apartment for rent Alimosho Road Dolphin Estate Ikoyi Lagos.. Read more ,,2 beds1 baths1 Toilets
Lekki Scheme 2 Ajah Lagos,"1,600,000/year",  Added 30 Jan 2023 ," FOR RENT: Total 2,350,000.. Read more ",,0 beds0 baths0 Toilets
Ogudu Lagos,"700,000/year","  Updated 30 Jan 2023, Added 30 Jan 2023 ", FOR RENT: Spacious mini flat inside a mini estate at ogudu orioke for 700k yearly rent onl.. Read more ,,1 beds1 baths2 Toilets
Dolphin Estate Ikoyi Lagos,"1,500,000/year",  Added 30 Jan 2023 ," FOR RENT: 2 bedroom apartment, well furnished and tiles available at limited edition .. Read more ",,2 beds1 baths1 Toilets
